index,Democrat,Republican,Ambigious,ideology_score,ideology_score_flw,party,news_count,politicians_flw_count,worldview_alignment
16567834,5,2,4,0.625,0.7134796085967161,Republican,8.0,72,0.2857142857142857
2607421822,9,3,6,0.125,0.21827517502104601,Democrat,4.0,23,0.75
284048978,3,4,5,0.125,0.16133105493830602,Democrat,2.0,21,0.42857142857142855
75329060,0,3,7,0.75,0.7354846327479061,Republican,9.0,14,1.0
345013214,9,4,2,0.125,0.18500660276810602,Democrat,6.0,5,0.6923076923076923
628498010,7,3,1,0.3125,0.262079652796031,Democrat,4.0,67,0.7
954357792,0,4,7,0.8455882352941171,0.7260814400140401,Republican,34.0,11,1.0
38095543,3,6,3,0.25,0.18350559599340002,Democrat,11.0,4,0.3333333333333333
15851939,5,2,3,0.125,0.27516208467407804,Democrat,2.0,34,0.7142857142857143
746185282517557249,1,8,2,,,,,,0.8888888888888888
829720899439960066,3,1,6,,,,,,0.25
158844234,1,9,1,0.777777777777777,0.684796439316803,Republican,18.0,23,0.9
16966194,10,2,4,0.0,0.18455700534244202,Democrat,1.0,11,0.8333333333333334
475225995,4,2,4,0.05,0.141064037211717,Democrat,5.0,4,0.6666666666666666
2594853678,3,3,4,0.25,0.17033617338359802,Democrat,1.0,13,0.5
799975095095742465,4,3,4,,,,,,0.42857142857142855
22276785,8,1,3,0.17500000000000002,0.25109970064617704,Democrat,10.0,43,0.8888888888888888
4716950548,4,4,4,0.2,,Democrat,10.0,,0.5
552983877,3,4,5,0.12117346938775501,0.18489348680950102,Democrat,196.0,67,0.42857142857142855
181227373,3,3,4,0.375,0.256915164598633,Democrat,2.0,25,0.5
769737490269872128,1,6,5,0.75,0.7421241307431311,Republican,5.0,8,0.8571428571428571
22994667,8,4,2,0.25,0.20756438716005102,Democrat,8.0,20,0.6666666666666666
928374577021050880,0,6,4,0.7826086956521741,0.6702021314620451,Republican,23.0,12,1.0
80125289,2,3,6,0.392857142857142,0.16289773694675402,Democrat,7.0,29,0.4
755537696723001348,9,4,2,,,,,,0.3076923076923077
203489725,7,3,3,0.159090909090909,0.131815847737202,Democrat,11.0,4,0.7
492706997,4,5,2,0.7352941176470581,0.824254811293971,Republican,17.0,7,0.5555555555555556
15189464,5,5,2,0.16666666666666602,0.16711135363978902,Democrat,3.0,19,0.5
996111775820124162,7,2,3,,,,,,0.2222222222222222
721400912640548864,6,2,7,0.25,0.23743365899630403,Democrat,6.0,47,0.75
816126073159159808,5,3,5,0.30000000000000004,0.19195910293985102,Democrat,5.0,22,0.625
22365812,4,5,4,0.33333333333333304,0.23169327692495703,Democrat,6.0,3,0.4444444444444444
516843953,3,5,2,0.08333333333333301,0.155271395343716,Democrat,3.0,12,0.375
410045685,4,3,6,,0.239689216181161,,,23,0.42857142857142855
3177342025,0,5,7,0.803571428571428,0.6643753869630411,Republican,14.0,19,1.0
602433737,0,7,3,0.7916666666666661,0.7432840396895181,Republican,6.0,24,1.0
785675243821993984,8,3,3,0.160714285714285,0.292087205736623,Democrat,14.0,15,0.7272727272727273
236865083,3,4,3,0.08333333333333301,0.224015035212725,Democrat,3.0,51,0.42857142857142855
3098481547,4,3,3,0.10714285714285701,0.193227154767026,Democrat,7.0,21,0.5714285714285714
297019054,1,9,1,0.7205882352941171,0.6662641706518261,Republican,17.0,6,0.9
32314402,10,2,5,0.125,0.231108278694927,Democrat,4.0,49,0.8333333333333334
183476279,8,2,8,0.23750000000000002,0.17727976630967002,Democrat,20.0,11,0.8
438266048,4,3,4,0.25,0.11926345272399501,Democrat,1.0,8,0.5714285714285714
729029347651276803,1,6,4,,,,,,0.8571428571428571
382441377,3,6,2,0.693548387096774,,Republican,31.0,,0.6666666666666666
378273505,0,6,5,,0.7060096223103971,,,18,1.0
574680147,3,4,4,0.21428571428571402,0.22199500809407102,Democrat,7.0,100,0.42857142857142855
771729405664256000,0,8,2,0.583333333333333,,Republican,3.0,,1.0
71032552,3,6,3,0.204545454545454,0.18241361860052502,Democrat,11.0,7,0.3333333333333333
134595842,7,3,3,0.25,0.25683643309833004,Democrat,1.0,41,0.7
991539960,5,1,5,0.125,0.22495321275656502,Democrat,2.0,7,0.8333333333333334
1928561437,0,5,5,0.7875000000000001,0.685136895959774,Republican,20.0,55,1.0
1663282496,10,2,3,0.16666666666666602,0.21126459048977603,Democrat,3.0,113,0.8333333333333334
799097418889371648,2,4,4,0.260869565217391,0.24947064695909701,Democrat,23.0,3,0.3333333333333333
83917315,1,3,6,0.25,0.5020157101945321,Democrat,8.0,1,0.25
1037738635783589889,0,7,3,,,,,,1.0
1738556923,2,5,4,0.23,0.236769411781924,Democrat,25.0,73,0.2857142857142857
111183865,6,1,5,0.0625,0.23603011693038903,Democrat,4.0,20,0.8571428571428571
146191278,4,3,3,0.208333333333333,0.197224734876104,Democrat,6.0,10,0.5714285714285714
455555695,4,7,0,0.25,0.238640708032747,Democrat,6.0,33,0.36363636363636365
776822583916433408,5,3,4,0.194444444444444,0.20221252341939702,Democrat,27.0,12,0.625
