index,Democrat,Republican,Ambigious,i_score,party
544698147,5,1,4,0.25,Democrat
834895446485061634,5,4,1,,
20188931,4,4,3,0.264705882352941,Democrat
16356201,3,2,5,0.125,Democrat
46396958,9,2,1,0.25,Democrat
740595126,3,0,7,0.3125,Democrat
42920600,8,0,6,0.0625,Democrat
755764789893357568,2,7,1,,
1885444430,3,4,3,,
73953084,5,0,5,,
105969831,3,5,2,0.25,Democrat
414999435,5,1,5,0.5,Republican
20658769,5,3,3,,
200581165,5,1,4,,
1012254978,7,1,3,0.23428125192339402,Democrat
1016763230,8,1,2,0.32692307692307604,Democrat
40735297,5,1,4,0.25,Democrat
17758367,5,3,2,0.23076923076923,Democrat
49518099,1,8,1,0.21875000000000003,Democrat
20785506,1,5,4,0.5,Republican
1480941773010751498,0,0,20,,
834439614,6,2,3,0.260869565217391,Democrat
1138040814452518913,5,2,3,,
28626749,7,1,2,0.25,Democrat
22454663,7,4,0,0.25,Democrat
375462311,2,3,5,,
276240984,1,6,3,0.25,Democrat
17143313,4,1,5,,
1874106846,4,3,3,0.30655265427850203,Democrat
28842653,4,1,6,0.28928571428571404,Democrat
780497544170254336,5,2,3,0.269230769230769,Democrat
15714742,5,3,2,0.14655172413793102,Democrat
14985036,6,3,1,0.256756756756756,Democrat
49047058,6,3,5,,
829835209256292352,0,3,7,0.7837837837837831,Republican
27076325,8,1,1,0.15625,Democrat
49031257,1,1,14,,
283827806,6,2,2,0.23834067180383703,Democrat
94844504,3,3,4,0.16666666666666602,Democrat
239953056,7,3,1,0.269230769230769,Democrat
2574530555,6,2,3,0.192307692307692,Democrat
2222189017,7,1,2,0.3125,Democrat
502239069,8,2,1,0.25,Democrat
405249707,5,4,1,0.15530303030303,Democrat
273177606,5,3,3,0.277777777777777,Democrat
832464518588428288,3,3,5,0.5,Republican
754805752083124224,2,6,2,,
777009953890598912,7,1,2,0.157760225838311,Democrat
17781206,5,6,1,0.375,Democrat
18601783,4,3,4,0.193181818181818,Democrat
24438509,1,7,2,0.7812500000000001,Republican
37590318,2,6,2,0.875,Republican
56489083,3,0,7,0.25,Democrat
846779323,5,1,4,0.25,Democrat
182182978,4,2,5,0.238888888888888,Democrat
2694976944,2,3,6,,
