1,twitter_id,full_name,political_party,gender,state,type,ideology,leadership,name,party,description,introduced_bills_117,cosponsored_bills_117,unique_cosponsors_117,total_cosponsors_117
456810,1325928411689349120,Maria Elvira Salazar,Republican,F,FL,rep,0.5493966001335441,0.5791161579135371,Salazar,Republican,moderate Republican leader,22,501,294,727
456811,1345461797361504259,Nikema Williams,Democrat,F,GA,rep,0.1789946377155469,0.747864297265937,Williams [GA5],Democrat,rank-and-file Democrat,43,748,368,1481
456812,1343620645452595200,Carolyn Bourdeaux,Democrat,F,GA,rep,0.2806270364581092,0.3029010875817591,Bourdeaux,Democrat,moderate Democratic follower,16,289,141,188
456813,1357017361568694274,Andrew S. Clyde,Republican,M,GA,rep,0.5523354259593269,0.339743668529986,Clyde,Republican,rank-and-file Republican,10,187,141,294
456814,1344356576786866176,Marjorie Taylor Greene,Republican,F,GA,rep,0.4958307543741099,0.1998015807584444,Greene,Republican,centrist Republican follower ,26,158,69,171
456815,1351966874377056257,Kaiali’i Kahele,Democrat,M,HI,rep,0.251286861296522,0.1740751654351782,Kahele,Democrat,moderate Democratic follower,16,478,79,118
456816,1340783304304410625,Ashley Hinson,Republican,F,IA,rep,0.6017500227613698,0.5719620574149882,Hinson,Republican,moderate Republican leader,28,344,317,643
456817,1345807954604412929,Mariannette Miller-Meeks,Republican,F,IA,rep,0.6753771256032505,0.4774976729278491,Miller-Meeks,Republican,rank-and-file Republican,29,555,240,422
456818,1345135363761852416,Randy Feenstra,Republican,M,IA,rep,0.5719004600308071,0.2484547707229121,Feenstra,Republican,rank-and-file Republican,17,267,117,162
456819,1343578440977494018,Marie Newman,Democrat,F,IL,rep,0.1784363095634958,0.2591598031001029,Newman,Democrat,moderate Democratic follower,20,645,114,169
456820,1343656635907125250,Mary E. Miller,Republican,F,IL,rep,0.6956597311855355,0.1710827867357308,Miller [IL15],Republican,moderate Republican follower,9,421,61,99
456821,1346205046036377601,Frank J. Mrvan,Democrat,M,IN,rep,0.2912012234085918,0.1267629643554562,Mrvan,Democrat,centrist Democratic follower,9,244,53,62
456822,1344845201479663621,Victoria Spartz,Republican,F,IN,rep,0.4597833862137388,0.3478284809077849,Spartz,Republican,centrist Republican,14,146,172,232
456823,1345825008887721986,Tracey Mann,Republican,M,KS,rep,0.6747810871296883,0.4035293128925259,Mann,Republican,rank-and-file Republican,23,425,177,395
456824,1345850704800468993,Jake LaTurner,Republican,M,KS,rep,0.5915570116745612,0.1321465714912086,LaTurner,Republican,moderate Republican follower,6,287,54,60
456825,1330278736554582016,Jake Auchincloss,Democrat,M,MA,rep,0.2131364852928509,0.1002694547984592,Auchincloss,Democrat,moderate Democratic follower,5,494,42,43
456826,1334164871420796928,Peter Meijer,Republican,M,MI,rep,0.4934544816055114,0.2225443627159873,Meijer,Republican,centrist Republican follower ,11,326,92,138
456827,1344032292432437248,Lisa C. McClain,Republican,F,MI,rep,0.5852575302628138,0.63774617356931,McClain,Republican,moderate Republican leader,19,246,359,796
456828,1344375287484723205,Michelle Fischbach,Republican,F,MN,rep,0.5427320346945783,0.220515706398213,Fischbach,Republican,centrist Republican follower ,18,194,90,149
456829,1002630999052865536,Cori Bush,Democrat,F,MO,rep,0.1769459444159003,0.3558170463348352,Bush,Democrat,moderate Democratic follower,19,337,112,416
456830,1344751420139040783,"Matthew M. Rosendale, Sr.",Republican,M,MT,rep,0.567158797330507,0.3345841196396364,Rosendale,Republican,rank-and-file Republican,26,230,145,299
456831,1348683154815655940,Deborah K. Ross,Democrat,F,NC,rep,0.2538457825159195,0.2506228303029163,Ross,Democrat,moderate Democratic follower,23,624,118,155
456832,1337115670161608712,Kathy E. Manning,Democrat,F,NC,rep,0.2683081958154415,0.4121426771541337,Manning,Democrat,moderate Democratic follower,12,426,185,358
456833,1344007696555663360,Madison Cawthorn,Republican,M,NC,rep,0.6766707778582691,0.1964256735457328,Cawthorn,Republican,moderate Republican follower,48,380,68,127
456834,1344416719260016641,Yvette Herrell,Republican,F,NM,rep,0.6752787523439037,0.3949860478784311,Herrell,Republican,rank-and-file Republican,25,364,164,377
456835,1345147845926670337,Teresa Leger Fernandez,Democrat,F,NM,rep,0.2303758902596382,0.3782737787010672,Leger Fernandez,Democrat,moderate Democratic follower,22,305,177,326
456836,1344349650447433729,Andrew R. Garbarino,Republican,M,NY,rep,0.5460976653317792,0.2385394588192536,Garbarino,Republican,centrist Republican,20,469,97,156
456837,1344750588026900481,Nicole Malliotakis,Republican,F,NY,rep,0.5266894213273949,0.4043823861597927,Malliotakis,Republican,centrist Republican,38,316,173,370
456838,1276403757224546304,Ritchie Torres,Democrat,M,NY,rep,0.1849410425332067,0.4282748772694784,Torres [NY15],Democrat,rank-and-file Democrat,48,487,174,456
456839,1344389506963808264,Jamaal Bowman,Democrat,M,NY,rep,0.150582824094505,0.433862467554569,Bowman,Democrat,progressive Democrat,18,568,166,488
456840,1345883634046279681,Mondaire Jones,Democrat,M,NY,rep,0.1184792666883278,0.3257735111428022,Jones,Democrat,lonely progressive Democratic ,12,783,134,250
456841,1344260196227555334,Stephanie I. Bice,Republican,F,OK,rep,0.5462867789851189,0.246989014192072,Bice,Republican,rank-and-file Republican,19,262,111,163
456842,1345788865911656454,Cliff Bentz,Republican,M,OR,rep,0.4949997959161767,0.0668594432899035,Bentz,Republican,centrist Republican follower ,6,134,26,38
456843,1343597700542038017,Nancy Mace,Republican,F,SC,rep,0.5271162691559607,0.1478371917171171,Mace,Republican,centrist Republican follower ,21,325,55,79
456844,1345787285179162624,Diana Harshbarger,Republican,F,TN,rep,0.624189062090677,0.2845343631191793,Harshbarger,Republican,rank-and-file Republican,15,274,122,218
456845,1343258042704527362,Pat Fallon,Republican,M,TX,rep,0.5839446400525263,0.0816202809874875,Fallon,Republican,moderate Republican follower,16,257,33,47
456846,1341120751399809026,August Pfluger,Republican,M,TX,rep,0.5820196223960205,0.4616941190035388,Pfluger,Republican,rank-and-file Republican,30,245,200,510
456847,1341903465610686464,Ronny Jackson,Republican,M,TX,rep,0.7168338198034124,0.2873879628540651,Jackson,Republican,conservative Republican,28,434,116,241
456848,1347318288850825217,Troy E. Nehls,Republican,M,TX,rep,0.4842821004965047,0.3074100341767152,Nehls,Republican,centrist Republican,20,145,144,246
456849,1343627416120532992,Tony Gonzales,Republican,M,TX,rep,0.4507133390330233,0.3296471254692469,Gonzales,Republican,centrist Republican,21,155,137,254
456850,1339633259349745670,Beth Van Duyne,Republican,F,TX,rep,0.560894298433139,0.5806696941202818,Van Duyne,Republican,moderate Republican leader,28,244,374,508
456851,1337452596093587462,Blake D. Moore,Republican,M,UT,rep,0.5168903173564667,0.1776689622453159,Moore [UT1],Republican,centrist Republican follower ,17,200,71,110
456852,1344481217685692416,Burgess Owens,Republican,M,UT,rep,0.5755594460234869,0.3360427557227404,Owens,Republican,rank-and-file Republican,17,317,137,264
456853,1345536897838436353,Bob Good,Republican,M,VA,rep,0.6853278707588548,0.4019268597597908,Good,Republican,rank-and-file Republican,37,388,135,605
456854,1343646545955213312,Marilyn Strickland,Democrat,F,WA,rep,0.2319832177200204,0.2671932784601504,Strickland,Democrat,moderate Democratic follower,12,561,118,190
456855,1004891731,Scott Fitzgerald,Republican,M,WI,rep,0.5097429919076338,0.2825052499911117,Fitzgerald,Republican,centrist Republican,15,151,117,197
456856,1351236267707654145,Alex Padilla,Democrat,M,CA,sen,0.1922740500056459,0.2882671262885718,Padilla,Democrat,moderate Democratic follower,57,607,81,339
456857,1356714265894408196,Jon Ossoff,Democrat,M,GA,sen,0.3981883921580715,0.2045237363606595,Ossoff,Democrat,centrist Democratic follower,50,244,74,158
456858,1352287997853622273,Raphael G. Warnock,Democrat,M,GA,sen,0.5020157101945322,0.502433109982156,Warnock,Democrat,centrist Democrat,56,363,99,676
412720,797201048490430465,Claudia Tenney,Republican,F,NY,rep,0.6978103971437754,0.4837016783344168,Tenney,Republican,rank-and-file Republican,35,399,216,412
456859,1382395679700439041,Julia Letlow,Republican,F,LA,rep,0.5080805610412326,0.27728934701648,Letlow,Republican,centrist Republican,5,155,129,147
456860,1352760304271241218,Troy A. Carter,Democrat,M,LA,rep,0.2513507823907894,0.072113940521779,Carter [LA2],Democrat,moderate Democratic follower,17,253,29,35
456861,1404519992582942724,Melanie A. Stansbury,Democrat,F,NM,rep,0.2232024195781312,0.096362852016087,Stansbury,Democrat,moderate Democratic follower,9,426,37,60
456862,1366523868253458437,Jake Ellzey,Republican,M,TX,rep,0.5542762492531765,0.0856995950468929,Ellzey,Republican,moderate Republican follower,4,223,26,28
456863,1456381091598700556,Shontel M. Brown,Democrat,F,OH,rep,0.2511342739555433,0.0767269373938906,Brown [OH11],Democrat,moderate Democratic follower,7,240,37,45
